date,country,H,I,S,D,M
2021-05-24,Afghanistan,0,0,0,4,33
2021-05-24,Australia,0,0,0,1,23
2021-05-25,Sweden,0,0,0,1,8
2021-05-25,Afghanistan,0,0,0,4,33
2021-05-25,Australia,0,0,0,1,23
2021-05-26,Sweden,0,0,0,1,8
2021-05-26,Afghanistan,0,0,0,4,33
2021-05-26,Australia,0,0,0,1,23
2021-05-27,Sweden,0,0,0,1,8
2021-05-27,Afghanistan,0,0,0,4,33
2021-05-27,Australia,0,0,0,1,23
2021-05-28,Sweden,0,0,0,1,8
2021-05-28,Afghanistan,0,0,0,4,33
2021-05-28,Australia,0,0,0,1,23
2021-05-29,Sweden,0,0,0,1,8
2021-05-29,Afghanistan,0,0,0,4,33
2021-05-29,Australia,0,0,0,1,23
2021-05-30,Sweden,0,0,0,1,8
2021-05-30,Afghanistan,0,0,0,4,33
2021-05-30,Australia,0,0,0,1,23
2021-05-31,Sweden,0,0,0,1,8
2021-05-31,Afghanistan,0,0,0,4,33
2021-05-31,Australia,0,0,0,1,23
2021-06-01,Sweden,0,0,0,1,8
2021-06-01,Afghanistan,0,0,0,4,33
2021-06-01,Australia,0,0,0,1,23
2021-06-02,Sweden,0,0,0,1,8
2021-06-02,Afghanistan,0,0,0,4,33
2021-06-02,Australia,0,0,0,1,23
2021-06-03,Sweden,0,0,0,1,8
2021-06-03,Afghanistan,0,0,0,4,33
2021-06-03,Australia,0,0,0,1,23
2021-06-04,Sweden,0,0,0,1,8
2021-06-04,Afghanistan,0,0,0,4,33
2021-06-04,Australia,0,0,0,1,23
2021-06-05,Sweden,0,0,0,1,8
2021-06-05,Afghanistan,0,0,0,4,33
2021-06-05,Australia,0,0,0,1,23
2021-06-06,Sweden,0,0,0,1,8
2021-06-06,Afghanistan,0,0,0,4,33
2021-06-06,Australia,0,0,0,1,23
2021-06-07,Sweden,0,0,0,1,8
2021-06-07,Afghanistan,0,0,0,4,33
2021-06-07,Australia,0,0,0,1,23
2021-06-08,Sweden,0,0,0,1,8
2021-06-08,Afghanistan,0,0,0,4,33
2021-06-08,Australia,0,0,0,1,23
2021-06-09,Sweden,0,0,0,1,8
2021-06-09,Afghanistan,0,0,0,4,33
2021-06-09,Australia,0,0,0,1,23
2021-06-10,Sweden,0,0,0,1,8
2021-06-10,Afghanistan,0,0,0,4,33
2021-06-10,Australia,0,0,0,1,23
2021-06-11,Sweden,0,0,0,1,8
2021-06-11,Afghanistan,0,0,0,4,33
2021-06-11,Australia,0,0,0,1,23
2021-06-12,Sweden,0,0,0,1,8
2021-06-12,Afghanistan,0,0,0,4,33
2021-06-12,Australia,0,0,0,1,23
2021-06-13,Sweden,0,0,0,1,8
2021-06-13,Afghanistan,0,0,0,4,33
2021-06-13,Australia,0,0,0,1,23
2021-06-14,Sweden,0,0,0,1,8
2021-06-14,Afghanistan,0,0,0,4,33
2021-06-14,Australia,0,0,0,1,23
2021-06-15,Sweden,0,0,0,1,8
2021-06-15,Afghanistan,0,0,0,4,33
2021-06-15,Australia,0,0,0,1,23
2021-06-16,Sweden,0,0,0,1,8
2021-06-16,Afghanistan,0,0,0,4,33
2021-06-16,Australia,0,0,0,1,23
2021-06-17,Sweden,0,0,0,1,8
2021-06-17,Afghanistan,0,0,0,4,33
2021-06-17,Australia,0,0,0,1,23
2021-06-18,Sweden,0,0,0,1,8
2021-06-18,Afghanistan,0,0,0,4,33
2021-06-18,Australia,0,0,0,1,23
2021-06-19,Sweden,0,0,0,1,8
2021-06-19,Afghanistan,0,0,0,4,33
2021-06-19,Australia,0,0,0,1,23
2021-06-20,Sweden,0,0,0,1,8
2021-06-20,Afghanistan,0,0,0,4,33
2021-06-20,Australia,0,0,0,1,23
2021-06-21,Sweden,0,0,0,1,8
2021-06-21,Afghanistan,0,0,0,4,33
2021-06-21,Australia,0,0,0,1,23
2021-06-22,Sweden,0,0,0,1,8
2021-06-22,Afghanistan,0,0,0,4,33
2021-06-22,Australia,0,0,0,1,23
2021-06-23,Sweden,0,0,0,1,8
2021-06-23,Afghanistan,0,0,0,4,33
2021-06-23,Australia,0,0,0,1,23
2021-06-24,Sweden,0,0,0,1,8
2021-06-24,Afghanistan,0,0,0,4,33
2021-06-24,Australia,0,0,0,1,23
2021-06-25,Sweden,0,0,0,1,8
2021-06-25,Afghanistan,0,0,0,4,33
2021-06-25,Australia,0,0,0,1,23
2021-06-26,Sweden,0,0,0,1,8
2021-06-26,Afghanistan,0,0,0,4,33
2021-06-26,Australia,0,0,0,1,23
2021-06-27,Sweden,0,0,0,1,8
2021-06-27,Afghanistan,0,0,0,4,33
2021-06-27,Australia,0,0,0,1,23
2021-06-28,Sweden,0,0,0,1,8
2021-06-28,Afghanistan,0,0,0,4,33
2021-06-28,Australia,0,0,0,1,23
2021-06-29,Sweden,0,0,0,1,8
2021-06-29,Afghanistan,0,0,0,4,33
2021-06-29,Australia,0,0,0,1,23
2021-06-30,Sweden,0,0,0,1,8
2021-06-30,Afghanistan,0,0,0,4,33
2021-06-30,Australia,0,0,0,1,23
2021-07-01,Sweden,0,0,0,1,8
2021-07-01,Afghanistan,0,0,0,4,33
2021-07-01,Australia,0,0,0,1,23
2021-07-02,Sweden,0,0,0,1,8
2021-07-02,Afghanistan,0,0,0,4,33
2021-07-02,Australia,0,0,0,1,23
2021-07-03,Sweden,0,0,0,1,8
2021-07-03,Afghanistan,0,0,0,4,33
2021-07-03,Australia,0,0,0,1,23
2021-07-04,Sweden,0,0,0,1,8
2021-07-04,Afghanistan,0,0,0,4,33
2021-07-04,Australia,0,0,0,1,23
2021-07-05,Sweden,0,0,0,1,8
2021-07-05,Afghanistan,0,0,0,4,33
2021-07-05,Australia,0,0,0,1,23
2021-07-06,Sweden,0,0,0,1,8
2021-07-06,Afghanistan,0,0,0,4,33
2021-07-06,Australia,0,0,0,1,23
2021-07-07,Sweden,0,0,0,1,8
2021-07-07,Afghanistan,0,0,0,4,33
2021-07-07,Australia,0,0,0,1,23
2021-07-08,Sweden,0,0,0,1,8
2021-07-08,Afghanistan,0,0,0,4,33
2021-07-08,Australia,0,0,0,1,23
2021-07-09,Sweden,0,0,0,1,8
2021-07-09,Afghanistan,0,0,0,4,33
2021-07-09,Australia,0,0,0,1,23
2021-07-10,Sweden,0,0,0,1,8
2021-07-10,Afghanistan,0,0,0,4,33
2021-07-10,Australia,0,0,0,1,23
2021-07-11,Sweden,0,0,0,1,8
2021-07-11,Afghanistan,0,0,0,4,33
2021-07-11,Australia,0,0,0,1,23
2021-07-12,Sweden,0,0,0,1,8
2021-07-12,Afghanistan,0,0,0,4,33
2021-07-12,Australia,0,0,0,1,23
2021-07-13,Sweden,0,0,0,1,8
2021-07-13,Afghanistan,0,0,0,4,33
2021-07-13,Australia,0,0,0,1,23
2021-07-14,Sweden,0,0,0,1,8
2021-07-14,Afghanistan,0,0,0,4,33
2021-07-14,Australia,0,0,0,1,23
2021-07-15,Sweden,0,0,0,1,8
2021-07-15,Afghanistan,0,0,0,4,33
2021-07-15,Australia,0,0,0,1,23
2021-07-16,Sweden,0,0,0,1,8
2021-07-16,Afghanistan,0,0,0,4,33
2021-07-16,Australia,0,0,0,1,23
2021-07-17,Sweden,0,0,0,1,8
2021-07-17,Afghanistan,0,0,0,4,33
2021-07-17,Australia,0,0,0,1,23
2021-07-18,Sweden,0,0,0,1,8
2021-07-18,Afghanistan,0,0,0,4,33
2021-07-18,Australia,0,0,0,1,23
2021-07-19,Sweden,0,0,0,1,8
2021-07-19,Afghanistan,0,0,0,4,33
2021-07-19,Australia,0,0,0,1,23
2021-07-20,Sweden,0,0,0,1,8
2021-07-20,Afghanistan,0,0,0,4,33
2021-07-20,Australia,0,0,0,1,23
2021-07-21,Sweden,0,0,0,1,8
2021-07-21,Afghanistan,0,0,0,4,33
2021-07-21,Australia,0,0,0,1,23
2021-07-22,Sweden,0,0,0,1,8
2021-07-22,Afghanistan,0,0,0,4,33
2021-07-22,Australia,0,0,0,1,23
2021-07-23,Sweden,0,0,0,1,8
2021-07-23,Afghanistan,0,0,0,4,33
2021-07-23,Australia,0,0,0,1,23
2021-07-24,Sweden,0,0,0,1,8
2021-07-24,Afghanistan,0,0,0,4,33
2021-07-24,Australia,0,0,0,1,23
2021-07-25,Sweden,0,0,0,1,8
2021-07-25,Afghanistan,0,0,0,4,33
2021-07-25,Australia,0,0,0,1,23
2021-07-26,Sweden,0,0,0,1,8
2021-07-26,Afghanistan,0,0,0,4,33
2021-07-26,Australia,0,0,0,1,23
2021-07-27,Sweden,0,0,0,1,8
2021-07-27,Afghanistan,0,0,0,4,33
2021-07-27,Australia,0,0,0,1,23
2021-07-28,Sweden,0,0,0,1,8
2021-07-28,Afghanistan,0,0,0,4,33
2021-07-28,Australia,0,0,0,1,23
2021-07-29,Sweden,0,0,0,1,8
2021-07-29,Afghanistan,0,0,0,4,33
2021-07-29,Australia,0,0,0,1,23
2021-07-30,Sweden,0,0,0,1,8
2021-07-30,Afghanistan,0,0,0,4,33
2021-07-30,Australia,0,0,0,1,23
2021-07-31,Sweden,0,0,0,1,8
2021-07-31,Afghanistan,0,0,0,4,33
2021-07-31,Australia,0,0,0,1,23
2021-08-01,Sweden,0,0,0,1,8
2021-08-01,Afghanistan,0,0,0,4,33
2021-08-01,Australia,0,0,0,1,23
2021-08-02,Sweden,0,0,0,1,8
2021-08-02,Afghanistan,0,0,0,4,33
2021-08-02,Australia,0,0,0,1,23
2021-08-03,Sweden,0,0,0,1,8
2021-08-03,Afghanistan,0,0,0,4,33
2021-08-03,Australia,0,0,0,1,23
2021-08-04,Sweden,0,0,0,1,8
2021-08-04,Afghanistan,0,0,0,4,33
2021-08-04,Australia,0,0,0,1,23
2021-08-05,Sweden,0,0,0,1,8
2021-08-05,Afghanistan,0,0,0,4,33
2021-08-05,Australia,0,0,0,1,23
2021-08-06,Sweden,1,0,0,1,7
2021-08-06,Afghanistan,5,0,0,4,28
2021-08-06,Australia,5,0,0,1,18
2021-08-07,Sweden,2,0,0,1,6
2021-08-07,Afghanistan,5,2,0,4,26
2021-08-07,Australia,6,0,0,1,17
2021-08-08,Sweden,3,0,0,1,5
2021-08-08,Afghanistan,5,4,0,4,24
2021-08-08,Australia,7,1,0,1,15
2021-08-09,Sweden,2,1,0,1,5
2021-08-09,Afghanistan,6,5,0,4,22
2021-08-09,Australia,4,4,0,1,15
2021-08-10,Sweden,1,2,0,1,5
2021-08-10,Afghanistan,7,5,0,4,21
2021-08-10,Australia,3,6,0,1,14
2021-08-11,Sweden,0,3,0,1,5
2021-08-11,Afghanistan,7,7,0,4,19
2021-08-11,Australia,2,7,0,1,14
2021-08-12,Sweden,1,3,0,1,4
2021-08-12,Afghanistan,6,7,1,4,19
2021-08-12,Australia,4,7,0,1,12
2021-08-13,Sweden,0,4,0,1,4
2021-08-13,Afghanistan,6,5,1,4,21
2021-08-13,Australia,4,6,0,1,13
2021-08-14,Sweden,0,3,0,1,5
2021-08-14,Afghanistan,5,5,2,4,21
2021-08-14,Australia,2,5,2,1,14
2021-08-15,Sweden,0,2,0,1,6
2021-08-15,Afghanistan,4,6,2,4,21
2021-08-15,Australia,3,3,3,1,14
2021-08-16,Sweden,1,1,0,1,6
2021-08-16,Afghanistan,3,5,3,4,22
2021-08-16,Australia,1,4,3,1,15
2021-08-17,Sweden,1,1,0,1,6
2021-08-17,Afghanistan,3,4,5,4,21
2021-08-17,Australia,1,4,3,1,15
2021-08-18,Sweden,1,0,0,1,7
2021-08-18,Afghanistan,3,4,5,4,21
2021-08-18,Australia,1,4,3,1,15
2021-08-19,Sweden,0,1,0,1,7
2021-08-19,Afghanistan,3,3,5,4,22
2021-08-19,Australia,1,2,4,1,16
2021-08-20,Sweden,0,1,0,1,7
2021-08-20,Afghanistan,3,2,6,4,22
2021-08-20,Australia,1,2,4,1,16
2021-08-21,Sweden,2,1,0,1,5
2021-08-21,Afghanistan,6,1,7,4,19
2021-08-21,Australia,2,1,4,1,16
2021-08-22,Sweden,3,1,0,1,4
2021-08-22,Afghanistan,9,1,8,4,15
2021-08-22,Australia,3,1,4,1,15
2021-08-23,Sweden,2,2,0,1,4
2021-08-23,Afghanistan,6,4,8,4,15
2021-08-23,Australia,3,1,4,1,15
2021-08-24,Sweden,1,2,1,1,4
2021-08-24,Afghanistan,6,5,8,4,14
2021-08-24,Australia,5,1,4,1,13
2021-08-25,Sweden,0,3,1,1,4
2021-08-25,Afghanistan,3,9,8,4,13
2021-08-25,Australia,4,3,4,1,12
2021-08-26,Sweden,0,3,1,1,4
2021-08-26,Afghanistan,2,10,8,4,13
2021-08-26,Australia,5,2,5,1,11
2021-08-27,Sweden,0,3,1,1,4
2021-08-27,Afghanistan,3,9,8,4,13
2021-08-27,Australia,6,4,5,1,8
2021-08-28,Sweden,0,2,2,1,4
2021-08-28,Afghanistan,4,6,8,4,15
2021-08-28,Australia,6,4,5,1,8
2021-08-29,Sweden,0,1,2,1,5
2021-08-29,Afghanistan,4,6,8,4,15
2021-08-29,Australia,6,5,3,1,9
2021-08-30,Sweden,0,0,2,1,6
2021-08-30,Afghanistan,5,2,10,4,16
2021-08-30,Australia,4,5,2,1,12
2021-08-31,Sweden,0,0,2,1,6
2021-08-31,Afghanistan,3,3,10,5,16
2021-08-31,Australia,3,6,2,1,12
2021-09-01,Sweden,0,0,2,1,6
2021-09-01,Afghanistan,4,3,8,5,17
2021-09-01,Australia,3,4,4,1,12
2021-09-02,Sweden,0,0,2,1,6
2021-09-02,Afghanistan,4,4,8,5,16
2021-09-02,Australia,3,4,4,1,12
2021-09-03,Sweden,0,0,2,1,6
2021-09-03,Afghanistan,4,3,9,5,16
2021-09-03,Australia,2,4,4,1,13
2021-09-04,Sweden,0,0,2,1,6
2021-09-04,Afghanistan,5,3,8,6,15
2021-09-04,Australia,1,3,5,1,14
2021-09-05,Sweden,0,0,2,1,6
2021-09-05,Afghanistan,4,2,8,6,17
2021-09-05,Australia,1,2,5,1,15
2021-09-06,Sweden,0,0,2,1,6
2021-09-06,Afghanistan,3,3,7,6,18
2021-09-06,Australia,1,2,5,1,15
2021-09-07,Sweden,0,0,2,1,6
2021-09-07,Afghanistan,3,2,7,6,19
2021-09-07,Australia,1,2,5,1,15
2021-09-08,Sweden,0,0,1,1,7
2021-09-08,Afghanistan,3,2,7,6,19
2021-09-08,Australia,1,1,5,1,16
2021-09-09,Sweden,0,0,1,1,7
2021-09-09,Afghanistan,3,2,7,6,19
2021-09-09,Australia,1,0,5,1,17
2021-09-10,Sweden,0,0,1,1,7
2021-09-10,Afghanistan,3,1,7,6,20
2021-09-10,Australia,1,0,4,1,18
2021-09-11,Sweden,0,0,1,1,7
2021-09-11,Afghanistan,2,1,7,6,21
2021-09-11,Australia,0,1,4,1,18
2021-09-12,Sweden,0,0,0,1,8
2021-09-12,Afghanistan,1,2,7,6,21
2021-09-12,Australia,0,1,4,1,18
2021-09-13,Sweden,0,0,0,1,8
2021-09-13,Afghanistan,1,2,6,6,22
2021-09-13,Australia,0,1,4,1,18
2021-09-14,Sweden,0,0,0,1,8
2021-09-14,Afghanistan,2,2,4,6,23
2021-09-14,Australia,0,1,4,1,18
2021-09-15,Sweden,0,0,0,1,8
2021-09-15,Afghanistan,2,2,3,6,24
2021-09-15,Australia,0,1,4,1,18
2021-09-16,Sweden,0,0,0,1,8
2021-09-16,Afghanistan,2,1,3,6,25
2021-09-16,Australia,0,0,2,1,21
2021-09-17,Sweden,0,0,0,1,8
2021-09-17,Afghanistan,2,0,3,6,26
2021-09-17,Australia,0,0,2,1,21
2021-09-18,Sweden,0,0,0,1,8
2021-09-18,Afghanistan,2,0,2,6,27
2021-09-18,Australia,0,0,1,2,21
2021-09-19,Sweden,0,0,0,1,8
2021-09-19,Afghanistan,2,0,2,6,27
2021-09-19,Australia,0,0,0,3,21
2021-09-20,Sweden,0,0,0,1,8
2021-09-20,Afghanistan,2,0,1,6,28
2021-09-20,Australia,0,0,0,3,21
2021-09-21,Sweden,0,0,0,1,8
2021-09-21,Afghanistan,2,0,1,6,28
2021-09-21,Australia,0,0,0,3,21
2021-09-22,Sweden,0,0,0,1,8
2021-09-22,Afghanistan,2,0,1,6,28
2021-09-22,Australia,0,0,0,3,21
2021-09-23,Sweden,0,0,0,1,8
2021-09-23,Afghanistan,2,0,1,6,28
2021-09-23,Australia,0,0,0,3,21
2021-09-24,Sweden,0,0,0,1,8
2021-09-24,Afghanistan,2,0,1,6,28
2021-09-24,Australia,0,0,0,3,21
2021-09-25,Sweden,0,0,0,1,8
2021-09-25,Afghanistan,2,0,1,6,28
2021-09-25,Australia,0,0,0,3,21
2021-09-26,Sweden,0,0,0,1,8
2021-09-26,Afghanistan,1,1,0,7,28
2021-09-26,Australia,0,0,0,3,21
2021-09-27,Sweden,0,0,0,1,8
2021-09-27,Afghanistan,1,1,0,7,28
2021-09-27,Australia,0,0,0,3,21
2021-09-28,Sweden,0,0,0,1,8
2021-09-28,Afghanistan,1,1,0,7,28
2021-09-28,Australia,0,0,0,3,21
2021-09-29,Sweden,0,0,0,1,8
2021-09-29,Afghanistan,1,1,0,7,28
2021-09-29,Australia,0,0,0,3,21
2021-09-30,Sweden,0,0,0,1,8
2021-09-30,Afghanistan,1,1,0,7,28
2021-09-30,Australia,0,0,0,3,21
2021-10-01,Sweden,0,0,0,1,8
2021-10-01,Afghanistan,1,0,0,7,29
2021-10-01,Australia,0,0,0,3,21
2021-10-02,Sweden,0,0,0,1,8
2021-10-02,Afghanistan,1,0,0,7,29
2021-10-02,Australia,0,0,0,3,21
2021-10-03,Sweden,0,0,0,1,8
2021-10-03,Afghanistan,1,0,0,7,29
2021-10-03,Australia,0,0,0,3,21
2021-10-04,Sweden,0,0,0,1,8
2021-10-04,Afghanistan,1,0,0,7,29
2021-10-04,Australia,0,0,0,3,21
2021-10-05,Sweden,0,0,0,1,8
2021-10-05,Afghanistan,1,0,0,7,29
2021-10-05,Australia,0,0,0,3,21
2021-10-06,Sweden,0,0,0,1,8
2021-10-06,Afghanistan,1,0,0,7,29
2021-10-06,Australia,0,0,0,3,21
2021-10-07,Sweden,0,0,0,1,8
2021-10-07,Afghanistan,1,0,0,7,29
2021-10-07,Australia,0,0,0,3,21
2021-10-08,Sweden,0,0,0,1,8
2021-10-08,Afghanistan,1,0,0,7,29
2021-10-08,Australia,0,0,0,3,21
2021-10-09,Sweden,0,0,0,1,8
2021-10-09,Afghanistan,1,0,0,7,29
2021-10-09,Australia,0,0,0,3,21
2021-10-10,Sweden,0,0,0,1,8
2021-10-10,Afghanistan,1,0,0,7,29
2021-10-10,Australia,0,0,0,3,21
2021-10-11,Sweden,0,0,0,1,8
2021-10-11,Afghanistan,1,0,0,7,29
2021-10-11,Australia,0,0,0,3,21
2021-10-12,Sweden,0,0,0,1,8
2021-10-12,Afghanistan,1,0,0,7,29
2021-10-12,Australia,0,0,0,3,21
2021-10-13,Sweden,0,0,0,1,8
2021-10-13,Afghanistan,1,0,0,7,29
2021-10-13,Australia,0,0,0,3,21
2021-10-14,Sweden,0,0,0,1,8
2021-10-14,Afghanistan,1,0,0,7,29
2021-10-14,Australia,0,0,0,3,21
2021-10-15,Sweden,0,0,0,1,8
2021-10-15,Afghanistan,1,0,0,7,29
2021-10-15,Australia,0,0,0,3,21
2021-10-16,Sweden,0,0,0,1,8
2021-10-16,Afghanistan,1,0,0,7,29
2021-10-16,Australia,0,0,0,3,21
2021-10-17,Sweden,0,0,0,1,8
2021-10-17,Afghanistan,1,0,0,7,29
2021-10-17,Australia,0,0,0,3,21
2021-10-18,Sweden,0,0,0,1,8
2021-10-18,Afghanistan,0,1,0,7,29
2021-10-18,Australia,0,0,0,3,21
2021-10-19,Sweden,0,0,0,1,8
2021-10-19,Afghanistan,0,1,0,7,29
2021-10-19,Australia,0,0,0,3,21
2021-10-20,Sweden,0,0,0,1,8
2021-10-20,Afghanistan,0,1,0,7,29
2021-10-20,Australia,0,0,0,3,21
2021-10-21,Sweden,0,0,0,1,8
2021-10-21,Afghanistan,0,1,0,7,29
2021-10-21,Australia,0,0,0,3,21
2021-10-22,Sweden,0,0,0,1,8
2021-10-22,Afghanistan,0,1,0,7,29
2021-10-22,Australia,0,0,0,3,21
2021-10-23,Sweden,0,0,0,1,8
2021-10-23,Afghanistan,0,0,0,7,30
2021-10-23,Australia,0,0,0,3,21
2021-10-24,Sweden,0,0,0,1,8
2021-10-24,Afghanistan,0,0,0,7,30
2021-10-24,Australia,0,0,0,3,21
2021-10-25,Sweden,0,0,0,1,8
2021-10-25,Afghanistan,0,0,0,7,30
2021-10-25,Australia,0,0,0,3,21
2021-10-26,Sweden,0,0,0,1,8
